Running test suite (maximimum threads: 12)
Sanity tests passed!

 *** 1st pass *** 

 Test                 List             # vals     P     Result    Duration (sec)
 Pressure-128         LockFree         10000000   4     pass      4.428         
 Pressure-128         CoarseGrained    10000000   8     pass      16.237        
 Pressure-128         FineGrained      10000000   8     pass      43.163        
 Pressure-128         LockFree         10000000   8     pass      3.029         
 Pressure-16          CoarseGrained    1000000    1     pass      0.095         
 Pressure-16          FineGrained      1000000    1     pass      0.333         
 Pressure-16          LockFree         1000000    1     pass      0.141         
 Pressure-16          CoarseGrained    1000000    2     pass      0.199         
 Pressure-16          FineGrained      1000000    2     pass      1.121         
 Pressure-16          LockFree         1000000    2     pass      0.138         
 Pressure-16          CoarseGrained    1000000    4     pass      0.769         
 Pressure-16          FineGrained      1000000    4     pass      1.298         
 Pressure-16          LockFree         1000000    4     pass      0.120         
 Pressure-16          CoarseGrained    1000000    8     pass      0.915         
 Pressure-16          FineGrained      1000000    8     pass      1.525         
 Pressure-16          LockFree         1000000    8     pass      0.106         
 Pressure-16          CoarseGrained    10000000   1     pass      0.981         
 Pressure-16          FineGrained      10000000   1     pass      3.832         
 Pressure-16          LockFree         10000000   1     pass      1.504         
 Pressure-16          CoarseGrained    10000000   2     pass      2.089         
 Pressure-16          FineGrained      10000000   2     pass      12.089        
 Pressure-16          LockFree         10000000   2     pass      1.462         
 Pressure-16          CoarseGrained    10000000   4     pass      7.543         
 Pressure-16          FineGrained      10000000   4     pass      17.334        
 Pressure-16          LockFree         10000000   4     pass      1.162         
 Pressure-16          CoarseGrained    10000000   8     pass      9.526         
 Pressure-16          FineGrained      10000000   8     pass      17.152        
 Pressure-16          LockFree         10000000   8     pass      0.946         


 *** 3rd pass *** 

 Test                 List             # vals     P     Result    Duration (sec)
--------------------------------------------------------------------------------
 Length               CoarseGrained    10000      1     pass      0.142         
 Length               FineGrained      10000      1     pass      0.493         
 Length               LockFree         10000      1     pass      0.250         
 Length               CoarseGrained    10000      2     pass      0.154         
 Length               FineGrained      10000      2     pass      0.380         
 Length               LockFree         10000      2     pass      0.123         
 Length               CoarseGrained    10000      4     pass      0.187         
 Length               FineGrained      10000      4     pass      0.215         
 Length               LockFree         10000      4     pass      0.055         
 Length               CoarseGrained    10000      8     pass      0.208         
 Length               FineGrained      10000      8     pass      0.161         
 Length               LockFree         10000      8     pass      0.041         
 Length               CoarseGrained    100000     1     pass      47.059        
 Length               FineGrained      100000     1     pass      65.689        
 Length               LockFree         100000     1     pass      51.031        
 Length               CoarseGrained    100000     2     pass      46.908        
 Length               FineGrained      100000     2     pass      39.040        
 Length               LockFree         100000     2     pass      25.813        
 Length               CoarseGrained    100000     4     pass      49.160        
 Length               FineGrained      100000     4     pass      21.811        
 Length               LockFree         100000     4     pass      13.108        
 Length               CoarseGrained    100000     8     pass      50.009        
 Length               FineGrained      100000     8     pass      17.487        
 Length               LockFree         100000     8     pass      7.379         
 Pressure-128         CoarseGrained    1000000    1     pass      0.271         
 Pressure-128         FineGrained      1000000    1     pass      2.163         
 Pressure-128         LockFree         1000000    1     pass      0.682         
 Pressure-128         CoarseGrained    1000000    2     pass      0.504         
 Pressure-128         FineGrained      1000000    2     pass      2.242         
 Pressure-128         LockFree         1000000    2     pass      0.544         
 Pressure-128         CoarseGrained    1000000    4     pass      1.043         
 Pressure-128         FineGrained      1000000    4     pass      3.956         
 Pressure-128         LockFree         1000000    4     pass      0.455         
 Pressure-128         CoarseGrained    1000000    8     pass      1.604         
 Pressure-128         FineGrained      1000000    8     pass      4.313         
 Pressure-128         LockFree         1000000    8     pass      0.387         
 Pressure-128         CoarseGrained    10000000   1     pass      2.536         
 Pressure-128         FineGrained      10000000   1     pass      20.386        
 Pressure-128         LockFree         10000000   1     pass      6.500         
 Pressure-128         CoarseGrained    10000000   2     pass      5.333         
 Pressure-128         FineGrained      10000000   2     pass      20.553        
 Pressure-128         LockFree         10000000   2     pass      5.113         
 Pressure-128         CoarseGrained    10000000   4     pass      11.156        
 Pressure-128         FineGrained      10000000   4     pass      39.681        
 Pressure-128         LockFree         10000000   4     pass      3.723         
 Pressure-128         CoarseGrained    10000000   8     pass      15.747        
 Pressure-128         FineGrained      10000000   8     pass      43.826        
 Pressure-128         LockFree         10000000   8     pass      2.923         
 Pressure-16          CoarseGrained    1000000    1     pass      0.097         
 Pressure-16          FineGrained      1000000    1     pass      0.359         
 Pressure-16          LockFree         1000000    1     pass      0.146         
 Pressure-16          CoarseGrained    1000000    2     pass      0.192         
 Pressure-16          FineGrained      1000000    2     pass      1.245         
 Pressure-16          LockFree         1000000    2     pass      0.141         
 Pressure-16          CoarseGrained    1000000    4     pass      0.748         
 Pressure-16          FineGrained      1000000    4     pass      1.718         
 Pressure-16          LockFree         1000000    4     pass      0.114         
 Pressure-16          CoarseGrained    1000000    8     pass      0.930         
 Pressure-16          FineGrained      1000000    8     pass      1.533         
 Pressure-16          LockFree         1000000    8     pass      0.093         
 Pressure-16          CoarseGrained    10000000   1     pass      1.011         
 Pressure-16          FineGrained      10000000   1     pass      4.034         
 Pressure-16          LockFree         10000000   1     pass      1.532         
 Pressure-16          CoarseGrained    10000000   2     pass      2.079         
 Pressure-16          FineGrained      10000000   2     pass      16.911        
 Pressure-16          LockFree         10000000   2     pass      1.476         
 Pressure-16          CoarseGrained    10000000   4     pass      7.724         
 Pressure-16          FineGrained      10000000   4     pass      18.509        
 Pressure-16          LockFree         10000000   4     pass      1.209         
 Pressure-16          CoarseGrained    10000000   8     pass      9.841         
 Pressure-16          FineGrained      10000000   8     pass      18.207        
 Pressure-16          LockFree         10000000   8     pass      0.980         


